,d,final_objective[MDF],nx,ny,total iterations[MDF],total time[MDF],final_objective[IDF_tol],total iterations[IDF_tol],total time[IDF_tol]
0,0.8,-11.759497230677582,4,5,18,98.65999984741211,-11.767251255597404,28,75.41700005531311
0,0.8,-12.188707478195237,4,5,11,54.74399995803833,-12.201588435770464,22,57.19799995422363
0,0.8,-11.89147635383936,4,5,11,59.42199993133545,-11.894594129965352,25,65.49500012397766
0,0.8,-11.80978805438788,4,5,17,84.18600010871887,-11.81289861546967,42,106.45700001716614
0,0.8,-23.44488857567653,4,10,17,319.90700006484985,-23.459202591879077,36,301.64099979400635
0,0.8,-21.93029601101926,4,10,97,1094.1169998645782,-22.055481173400473,120,843.7749998569489
0,0.8,-22.02136799920888,4,10,18,314.4340000152588,-22.03536153088625,48,403.7339999675751
0,0.8,-23.578493631582273,4,10,17,298.2979998588562,-23.567061372802456,42,363.2349998950958
0,0.8,-24.26094356293826,4,10,13,261.0189998149872,-24.264584182329266,62,561.1549999713898
0,0.8,-7.076080270384725,10,3,13,156.4909999370575,-7.082965927749611,21,152.0350000858307
0,0.8,-7.282387761062248,10,3,7,76.81299996376038,-7.28386044737597,13,109.99300003051758
0,0.8,-7.394261673938546,10,3,9,106.83399987220764,-7.39536974017426,9,86.12199997901917
0,0.8,-7.2863867336844335,10,3,8,88.62899994850159,-7.287827919554706,11,106.3420000076294
0,0.8,-7.280128665193889,10,3,8,86.91599988937378,-7.282610754809582,7,60.22699999809265
